127.0.0.1 - - [14/Aug/2020:21:41:43 +0000] "GET /robots.txt HTTP/1.1" 404 761
127.0.0.1 - - [14/Aug/2020:21:41:44 +0000] "GET / HTTP/1.1" 200 11216
127.0.0.1 - - [14/Aug/2020:21:41:45 +0000] "GET /tomcat.css HTTP/1.1" 200 5581
127.0.0.1 - - [14/Aug/2020:21:41:45 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
127.0.0.1 - - [14/Aug/2020:21:41:45 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [14/Aug/2020:21:41:45 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
127.0.0.1 - - [14/Aug/2020:21:41:45 +0000] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [14/Aug/2020:21:41:45 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [14/Aug/2020:21:41:45 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [14/Aug/2020:21:41:45 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [14/Aug/2020:21:41:51 +0000] "GET /manager/status HTTP/1.1" 401 2499
127.0.0.1 - - [14/Aug/2020:21:41:58 +0000] "GET /manager/status HTTP/1.1" 401 2499
127.0.0.1 - - [14/Aug/2020:21:42:01 +0000] "GET /manager/status HTTP/1.1" 401 2499
127.0.0.1 - - [14/Aug/2020:21:46:12 +0000] "GET / HTTP/1.1" 200 11216
127.0.0.1 - - [14/Aug/2020:21:46:12 +0000] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2020:21:46:12 +0000] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2020:21:46:13 +0000] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2020:21:46:13 +0000] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2020:21:46:13 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2020:21:46:13 +0000] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2020:21:46:13 +0000] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Aug/2020:21:46:29 +0000] "GET /simple-webapp HTTP/1.1" 302 -
127.0.0.1 - - [14/Aug/2020:21:46:30 +0000] "GET /simple-webapp/ HTTP/1.1" 200 224
127.0.0.1 - - [14/Aug/2020:21:46:41 +0000] "GET /simple-webapp/trial.jsp HTTP/1.1" 200 441
127.0.0.1 - - [14/Aug/2020:21:46:52 +0000] "GET /manager/html HTTP/1.1" 401 2499
127.0.0.1 - - [14/Aug/2020:21:46:59 +0000] "GET /host-manager/html HTTP/1.1" 401 2044
127.0.0.1 - - [14/Aug/2020:21:49:14 +0000] "GET / HTTP/1.1" 200 11216
127.0.0.1 - - [14/Aug/2020:21:49:14 +0000] "GET /tomcat.png HTTP/1.1" 200 5103
127.0.0.1 - - [14/Aug/2020:21:49:14 +0000] "GET /tomcat.css HTTP/1.1" 200 5581
127.0.0.1 - - [14/Aug/2020:21:49:14 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [14/Aug/2020:21:49:15 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [14/Aug/2020:21:49:15 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [14/Aug/2020:21:49:15 +0000] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [14/Aug/2020:21:49:15 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [14/Aug/2020:21:49:15 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
127.0.0.1 - - [14/Aug/2020:21:49:18 +0000] "GET /manager/html HTTP/1.1" 401 2499
127.0.0.1 - tomcat [14/Aug/2020:21:49:24 +0000] "GET /manager/html HTTP/1.1" 403 3446
